hscode,mo_ta,Ngay_xac_nhan
03038917,- - - - Cá chim đen (Parastromatus niger),26/09/2023 0:00:00
03038918,- - - - Cá hồng bạc (Lutjanus argentimaculatus),26/09/2023 0:00:00
03038919,- - - - Loại khác,26/09/2023 0:00:00
03038922,- - - - Cá đòng đong đầm lầy (Puntius chola),26/09/2023 0:00:00
03038923,- - - - Cá măng biển (Chanos chanos) (SEN),26/09/2023 0:00:00
03038924,- - - - Cá sạo bạc (Pomadasys argenteus),26/09/2023 0:00:00
03038927,- - - - Cá mòi Hilsa (Tenualosa ilisha),26/09/2023 0:00:00
03038928,- - - - Cá leo (Wallago attu) và cá tra dầu (Sperata seenghala),26/09/2023 0:00:00
03038929,- - - - Loại khác,26/09/2023 0:00:00
03039100,"- - Gan, sẹ và bọc trứng cá",26/09/2023 0:00:00
03039200,- - Vây cá mập,26/09/2023 0:00:00
03039900,- - Loại khác,26/09/2023 0:00:00
03043100,- - Cá rô phi (Oreochromis spp.) (SEN),26/09/2023 0:00:00
03043200,"- - Cá da trơn (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",26/09/2023 0:00:00
03043300,- - Cá rô sông Nile (Lates niloticus),26/09/2023 0:00:00
03043900,- - Loại khác,26/09/2023 0:00:00
03044100,"- - Cá hồi Thái Bình Dương (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou và Oncorhynchus rhodurus), cá hồi Đại Tây Dương (Salmo salar) và cá hồi sông Đa-nuýp (Hucho hucho)",26/09/2023 0:00:00
03044200,"- - Cá hồi chấm (trout) (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache và Oncorhynchus chrysogaster)",26/09/2023 0:00:00
03044300,"- - Cá bơn (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae và Citharidae)",26/09/2023 0:00:00
03044400,"- - Cá thuộc các họ Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae và Muraenolepididae",26/09/2023 0:00:00
03044500,- - Cá kiếm (Xiphias gladius),26/09/2023 0:00:00
03044600,- - Cá răng cưa (Dissostichus spp.),26/09/2023 0:00:00
03044700,- - Cá nhám góc và cá mập khác,26/09/2023 0:00:00
03044800,- - Cá đuối (Rajidae),26/09/2023 0:00:00
03044900,- - Loại khác,26/09/2023 0:00:00
03045100,"- - Cá rô phi (Oreochromis spp.), cá da trơn (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), cá chép (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), cá chình (Anguilla spp.), cá rô sông Nile (Lates niloticus) và cá quả (cá chuối hoặc cá lóc) (Channa spp.)",26/09/2023 0:00:00
03045200,- - Cá hồi,26/09/2023 0:00:00
03045300,"- - Cá thuộc các họ Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae và Muraenolepididae",26/09/2023 0:00:00
03045400,- - Cá kiếm (Xiphias gladius),26/09/2023 0:00:00
03045500,- - Cá răng cưa (Dissostichus spp.),26/09/2023 0:00:00
03045600,- - Cá nhám góc và cá mập khác,26/09/2023 0:00:00
03045700,- - Cá đuối (Rajidae),26/09/2023 0:00:00
03045900,- - Loại khác,26/09/2023 0:00:00
03046100,- - Cá rô phi (Oreochromis spp.) (SEN),26/09/2023 0:00:00
03046200,"- - Cá da trơn (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",26/09/2023 0:00:00
03046300,- - Cá rô sông Nile (Lates niloticus),26/09/2023 0:00:00
03046900,- - Loại khác,26/09/2023 0:00:00
03047100,"- - Cá tuyết (Gadus morhua, Gadus ogac, Gadus macrocephalus)",26/09/2023 0:00:00
03047200,- - Cá tuyết chấm đen (Melanogrammus aeglefinus),26/09/2023 0:00:00
03047300,- - Cá tuyết đen (Pollachius virens),26/09/2023 0:00:00
03047400,"- - Cá tuyết hake (Merluccius spp., Urophycis spp.)",26/09/2023 0:00:00
03047500,- - Cá Minh Thái (Alaska Pollock) (Theragra chalcogramma),26/09/2023 0:00:00
